artist_id,full_name,first_name,middle_names,last_name,nationality,style,birth,death
500,Pierre-Auguste Renoir,Pierre,Auguste,Renoir,French,Impressionist,14/01/1905,02/04/1905
501,Alexandre Cabanel,Alexandre,,Cabanel,French,Classicist,27/12/1904,03/03/1905
502,James Ensor,James,,Ensor,Belgian,Expressionist,02/02/1905,02/05/1905
503,Maximilien Luce,Maximilien,,Luce,French,Pointillist,31/01/1905,24/04/1905
504,August Macke,August,,Macke,German,Expressionist,01/03/1905,28/03/1905
505,Thomas Gainsborough,Thomas,,Gainsborough,English,Rococo,22/09/1904,22/11/1904
506,Julien Dupré,Julien,,Dupre,French,Naturalist,24/01/1905,24/03/1905
507,George Catlin,George,,Catlin,American,American West,30/11/1904,14/02/1905
508,Federico Zandomeneghi,Federico,,Zandomeneghi,Italian,Expressionist,14/01/1905,31/03/1905
509,Cornelis Springer,Cornelis,,Springer,Dutch,Landscape Art,21/12/1904,05/03/1905
510,Hans Memling,Hans,,Memling,Dutch,Northern Renaissance,05/12/1903,02/02/1904
511,Piet Mondrian,Piet,,Mondrian,Dutch,Modern Art,14/02/1905,27/04/1905
512,Lemuel Francis Abbott,Lemuel,Francis,Abbott,English,Portraitist,25/10/1904,07/12/1904
513,Mary Cassatt,Mary,,Cassatt,American,Impressionist,17/01/1905,09/04/1905
514,Heinrich Campendonk,Heinrich,,Campendonk,German,Expressionist,03/03/1905,10/05/1905
515,Thomas Cole,Thomas,,Cole,American,Hudson River School,05/12/1904,21/01/1905
516,Thomas Luny,Thomas,,Luny,English,Marine Art,24/10/1904,10/01/1905
517,Eugène-Louis Boudin,Eugene,Louis,Boudin,French,Impressionist,28/12/1904,12/03/1905
518,Hendrick Dubbels,Hendrick,,Dubbels,Dutch,Marine Art,08/06/1904,02/08/1904
519,Frank Duveneck,Frank,,Duveneck,American,Realist,21/01/1905,02/04/1905
520,Asher Brown Durand,Asher,Brown,Durand,American,Hudson River School,30/11/1904,28/02/1905
521,George Henry Laporte,George,Henry,Laporte,English,Realist,03/12/1904,15/02/1905
